,NAME,ADJUSTMENT,HOLES,RELATIVE_PAR,SG_PUTTING,SG_OTT,SG_APR,SG_ARG,WINS,TOP_10S,1ST,2ND,3RD,YEAR,SCORE_AVERAGE,DRIVING_DISTANCE,DRIVING_ACCURACY,DRIVING_USAGE,GREENS_IN_REGULATION,TOTAL_SG
51,Bill Haas,-21.271,1404.0,-0.25,6.3039999999999985,0.472,-0.18,0.273,1.0,3.0,1.0,0.0,0.0,2012,70.48370512820513,292.2207792207792,0.6361974405850092,0.10968660968660969,0.6517094017094017,0.565
52,Billy Horschel,16.147,990.0,-0.25,-3.258,0.546,0.028,-0.116,0.0,1.0,0.0,0.0,1.0,2012,70.49401694915254,290.1636363636364,0.6657997399219766,0.1111111111111111,0.6878787878787879,0.4580000000000001
53,Kevin Stadler,-20.46,1386.0,-0.24,-18.428,0.35100000000000003,0.711,-0.359,0.0,5.0,0.0,0.0,0.0,2012,70.52518518518518,292.94805194805195,0.6508820798514392,0.1111111111111111,0.6774891774891775,0.7030000000000001
54,Ben Curtis,-8.631,1044.0,-0.26,24.238000000000003,-0.044,0.408,0.036000000000000004,1.0,3.0,1.0,1.0,0.0,2012,70.53820967741935,274.82758620689657,0.6970443349753694,0.1111111111111111,0.6886973180076629,0.4
55,Martin Flores,-23.877,1674.0,-0.26,53.826,0.077,-0.507,0.192,0.0,2.0,0.0,0.0,0.0,2012,70.53813684210526,295.0376344086022,0.535796766743649,0.1111111111111111,0.6397849462365591,-0.238
56,Jimmy Walker,-9.857,1818.0,-0.29,38.829,-0.243,0.105,0.258,0.0,4.0,0.0,0.0,0.0,2012,70.55587128712871,296.54455445544556,0.527363184079602,0.1111111111111111,0.643014301430143,0.12
57,Freddie Jacobson,-67.319,1080.0,-0.24,-6.384,-0.071,0.306,0.02,0.0,1.0,0.0,0.0,0.0,2012,70.56134999999999,287.44166666666666,0.5797619047619048,0.1111111111111111,0.6185185185185185,0.255
58,Chad Campbell,-22.429,1512.0,-0.23,-31.015,-0.04,0.7509999999999999,-0.004,0.0,2.0,0.0,0.0,1.0,2012,70.56632142857143,290.1309523809524,0.6018755328218244,0.1111111111111111,0.6712962962962963,0.7069999999999999
59,Nick Watney,-31.75,1692.0,-0.27,-2.103,-0.016,0.586,-0.006999999999999999,1.0,4.0,1.0,0.0,0.0,2012,70.57712765957447,296.8085106382979,0.5885931558935361,0.1111111111111111,0.6643026004728132,0.563
60,Blake Adams,-23.304,1854.0,-0.26,20.406,0.237,-0.055,-0.057,0.0,2.0,0.0,0.0,0.0,2012,70.58594392523365,288.3980582524272,0.6583159359777314,0.1111111111111111,0.6591154261057174,0.125
61,Rickie Fowler,-50.711,1494.0,-0.26,-13.34,0.458,0.228,0.034,1.0,5.0,1.0,1.0,0.0,2012,70.60589156626506,293.2289156626506,0.6442721791559001,0.1111111111111111,0.6499330655957162,0.7200000000000001
62,Sean O'Hair,-5.358,1512.0,-0.27,-21.736,0.255,0.25,0.149,0.0,2.0,0.0,1.0,0.0,2012,70.61478571428572,297.5,0.5998300764655905,0.1111111111111111,0.6825396825396826,0.654
63,John Rollins,-10.382,1386.0,-0.26,-2.404,0.627,-0.269,0.107,0.0,5.0,0.0,0.0,1.0,2012,70.61841558441559,295.37012987012986,0.6424581005586593,0.1111111111111111,0.6616161616161617,0.46499999999999997
64,Graham DeLaet,-14.709,1350.0,-0.25,-19.707,0.5,0.334,-0.234,0.0,3.0,0.0,0.0,0.0,2012,70.62393670886077,304.32666666666665,0.603629417382999,0.1111111111111111,0.6674074074074074,0.6000000000000001
65,Kyle Stanley,-31.819,1512.0,-0.27,-55.77,0.7859999999999999,0.439,-0.043,1.0,2.0,1.0,1.0,0.0,2012,70.63310714285714,306.88023952095807,0.5948936170212766,0.11044973544973545,0.6706349206349206,1.182
66,Kevin Na,-18.875,1422.0,-0.28,12.574000000000002,-0.255,0.301,0.206,0.0,6.0,0.0,0.0,0.0,2012,70.63449367088607,281.54430379746833,0.6591115140525838,0.1111111111111111,0.620253164556962,0.252
67,Harris English,-19.581,1764.0,-0.26,15.234000000000002,0.28600000000000003,-0.038,-0.124,0.0,3.0,0.0,0.0,0.0,2012,70.68794897959184,300.26020408163265,0.5947329919531822,0.1111111111111111,0.677437641723356,0.12400000000000003
68,Tim Clark,-24.193,1080.0,-0.24,-6.049,0.285,0.151,-0.014,0.0,3.0,0.0,1.0,0.0,2012,70.69678333333333,276.6525423728813,0.7159904534606205,0.10925925925925926,0.6425925925925926,0.42199999999999993
69,Charlie Wi,-43.044,1548.0,-0.27,20.398,-0.197,-0.229,0.43,0.0,3.0,0.0,1.0,1.0,2012,70.69716279069767,285.6198830409357,0.6165413533834586,0.11046511627906977,0.5968992248062015,0.003999999999999948
70,John Mallinger,-11.091,1260.0,-0.24,-5.437,-0.086,0.184,0.206,0.0,2.0,0.0,1.0,0.0,2012,70.69869999999999,281.39285714285717,0.6793422404933196,0.1111111111111111,0.665079365079365,0.304
71,John Merrick,8.378,1422.0,-0.25,-13.925,0.202,0.23,-0.047,0.0,2.0,0.0,1.0,0.0,2012,70.70098734177215,293.32911392405066,0.6446056210335449,0.1111111111111111,0.6912798874824191,0.38500000000000006
72,Ben Crane,-2.036,1296.0,-0.31,26.762,0.102,-0.138,0.195,0.0,4.0,0.0,1.0,0.0,2012,70.70783333333333,286.80555555555554,0.6435643564356436,0.1111111111111111,0.6481481481481481,0.15899999999999997
73,Michael Thompson,-40.556,1440.0,-0.26,23.097,-0.375,0.317,-0.192,0.0,2.0,0.0,1.0,0.0,2012,70.71805,283.43125,0.5942549371633752,0.1111111111111111,0.6326388888888889,-0.25
74,Daniel Summerhays,-7.553,1386.0,-0.24,-3.6,0.2,-0.066,0.045,0.0,4.0,0.0,0.0,0.0,2012,70.72156790123456,289.3376623376623,0.6193129062209842,0.1111111111111111,0.6767676767676768,0.179
75,William McGirt,-4.045,1656.0,-0.24,22.289,-0.092,0.11,-0.047,0.0,3.0,0.0,1.0,0.0,2012,70.72869791666666,285.3879781420765,0.6057767369242779,0.1105072463768116,0.6630434782608695,-0.028999999999999998
76,David Toms,-9.062,1044.0,-0.24,-6.185,0.131,0.012,0.189,0.0,4.0,0.0,1.0,0.0,2012,70.74031034482759,275.48275862068965,0.6975308641975309,0.1111111111111111,0.6609195402298851,0.332
77,Jonathan Byrd,-30.804,1224.0,-0.26,14.686,-0.22,0.406,0.058,0.0,5.0,0.0,0.0,1.0,2012,70.75288235294117,289.49264705882354,0.5787815126050421,0.1111111111111111,0.636437908496732,0.24400000000000002
78,Brian Gay,4.714,1566.0,-0.26,54.88800000000001,-0.364,-0.486,0.293,0.0,2.0,0.0,0.0,0.0,2012,70.7668275862069,277.7471264367816,0.6209744013212222,0.1111111111111111,0.6270753512132823,-0.5569999999999999
79,Spencer Levin,-37.73,1422.0,-0.28,21.79,-0.207,-0.041,0.18,0.0,3.0,0.0,0.0,1.0,2012,70.77556962025317,283.67721518987344,0.5729827742520399,0.1111111111111111,0.609704641350211,-0.068
80,Tim Herron,-11.246,1584.0,-0.24,-13.188,0.152,0.193,0.163,0.0,0.0,0.0,0.0,0.0,2012,70.78129545454546,289.39772727272725,0.5993485342019544,0.1111111111111111,0.6736111111111112,0.508
81,Matt Every,-6.877,1368.0,-0.27,6.172999999999999,-0.051,0.377,0.191,0.0,5.0,0.0,2.0,1.0,2012,70.78903749999999,285.5263157894737,0.6088595664467483,0.1111111111111111,0.6622807017543859,0.517
82,David Hearn,6.204,1710.0,-0.24,23.003,-0.022,-0.21,0.231,0.0,2.0,0.0,0.0,0.0,2012,70.80214736842105,286.6578947368421,0.6224566691785983,0.1111111111111111,0.6631578947368421,-0.0009999999999999731
83,Brian Davis,-15.546,1566.0,-0.27,29.211,-0.012,0.146,0.09,0.0,4.0,0.0,0.0,0.0,2012,70.80718681318682,277.1098265895954,0.6724422442244224,0.11047254150702426,0.6347381864623244,0.22399999999999998
84,Richard Lee,23.185,1170.0,-0.27,10.775,0.106,-0.187,0.071,0.0,0.0,0.0,0.0,0.0,2012,70.80873134328358,285.5692307692308,0.6872246696035242,0.1111111111111111,0.6829059829059829,-0.010000000000000009
85,Tom Gillis,-11.122,1350.0,-0.28,14.94,0.207,-0.274,0.189,0.0,2.0,0.0,1.0,0.0,2012,70.81170666666667,289.03333333333336,0.6609195402298851,0.1111111111111111,0.6385185185185185,0.12199999999999997
86,Gary Christian,7.367,1530.0,-0.25,-5.779,0.17,0.124,-0.067,0.0,1.0,0.0,0.0,0.0,2012,70.82031034482759,281.9,0.6894514767932489,0.1111111111111111,0.6699346405228758,0.22700000000000004
87,Brian Harman,-11.058,1818.0,-0.28,11.582,0.337,-0.37,0.101,0.0,1.0,0.0,0.0,0.0,2012,70.82120792079208,290.25742574257424,0.6543647977288858,0.1111111111111111,0.6391639163916392,0.06800000000000003
88,Kevin Streelman,-9.888,1566.0,-0.25,-4.144,0.11,0.184,0.028,0.0,3.0,0.0,0.0,0.0,2012,70.82148314606742,292.78735632183907,0.6163366336633663,0.1111111111111111,0.6621966794380587,0.322
89,Marc Leishman,-46.196,1512.0,-0.23,-25.169,-0.209,0.5589999999999999,0.193,1.0,2.0,1.0,0.0,1.0,2012,70.831,289.4047619047619,0.5520477815699659,0.1111111111111111,0.6276455026455027,0.5429999999999999
90,Ryo Ishikawa,-45.586,864.0,-0.24,7.249,-0.199,0.069,-0.104,0.0,0.0,0.0,1.0,0.0,2012,70.85411538461538,289.9782608695652,0.5328358208955224,0.10648148148148148,0.5960648148148148,-0.23399999999999999
91,Dicky Pride,-2.485,972.0,-0.26,6.391,-0.287,0.002,0.064,0.0,3.0,0.0,1.0,0.0,2012,70.87094827586208,285.9259259259259,0.6137566137566137,0.1111111111111111,0.6450617283950617,-0.22099999999999997
92,Chris Stroud,-0.451,1548.0,-0.25,6.117000000000001,-0.236,-0.049,0.325,0.0,2.0,0.0,0.0,0.0,2012,70.87847674418605,286.62573099415204,0.6231281198003328,0.11046511627906977,0.6337209302325582,0.040000000000000036
93,John Daly,-12.588,828.0,-0.3,7.294,0.272,-0.267,-0.604,0.0,1.0,0.0,0.0,0.0,2012,70.87852173913043,306.69565217391306,0.5578125,0.1111111111111111,0.6207729468599034,-0.599
94,Jeff Maggert,5.248,1494.0,-0.25,-9.933,0.287,0.084,-0.214,0.0,1.0,0.0,0.0,0.0,2012,70.88250602409639,285.30120481927713,0.6715643906655142,0.1111111111111111,0.6566265060240963,0.157
95,K.J. Choi,-38.969,1260.0,-0.24,-19.278,0.064,0.153,0.382,0.0,2.0,0.0,0.0,0.0,2012,70.88615714285714,282.3357142857143,0.6408163265306123,0.1111111111111111,0.6357142857142857,0.599
96,Kevin Chappell,-26.6,1566.0,-0.24,-18.857,0.228,-0.18600000000000005,0.138,0.0,1.0,0.0,0.0,0.0,2012,70.88965517241378,293.2931034482759,0.5672997522708505,0.1111111111111111,0.6411238825031929,0.17999999999999997
97,Chris Kirk,23.341,1602.0,-0.27,-16.611,0.032,0.444,-0.037000000000000005,0.0,4.0,0.0,0.0,0.0,2012,70.89147191011236,291.7865168539326,0.5969551282051282,0.1111111111111111,0.6660424469413233,0.43899999999999995
98,Johnson Wagner,-14.895,1584.0,-0.25,26.284,-0.027000000000000003,0.376,-0.31,1.0,4.0,1.0,1.0,0.0,2012,70.89892045454545,284.0,0.6231766612641815,0.11047979797979798,0.6590909090909091,0.03899999999999998
99,Russell Knox,29.538,1188.0,-0.25,0.011,0.049,0.025,0.105,0.0,0.0,0.0,0.0,0.0,2012,70.90497058823529,285.82575757575756,0.6702819956616052,0.1111111111111111,0.6936026936026936,0.179
100,Heath Slocum,4.1,1530.0,-0.22,-41.536,0.248,0.4270000000000001,-0.158,0.0,0.0,0.0,0.0,0.0,2012,70.91123595505618,278.8941176470588,0.7169334456613311,0.1111111111111111,0.6784313725490196,0.517
101,J.B. Holmes,-11.556,1476.0,-0.28,-4.454,0.585,-0.219,0.18600000000000005,0.0,2.0,0.0,0.0,0.0,2012,70.92376744186048,309.6646341463415,0.5440278988666085,0.1111111111111111,0.6449864498644986,0.552
102,J.J. Henry,-10.466,1530.0,-0.21,-3.859,0.051,0.126,0.133,1.0,3.0,1.0,0.0,1.0,2012,70.93858426966291,288.0705882352941,0.6317567567567568,0.1111111111111111,0.6823529411764706,0.31
103,D.A. Points,0.227,1584.0,-0.25,-8.759,0.067,0.329,-0.003,0.0,3.0,0.0,1.0,0.0,2012,70.94576136363636,284.02285714285716,0.6466287571080422,0.11047979797979798,0.6647727272727273,0.393
104,Billy Mayfair,-8.484,1548.0,-0.22,-15.991,0.08,-0.083,0.131,0.0,1.0,0.0,0.0,0.0,2012,70.94786046511628,286.77906976744185,0.6519567027477102,0.1111111111111111,0.6401808785529716,0.128
105,Josh Teater,6.611,1674.0,-0.26,-17.387999999999998,0.57,-0.231,-0.001,0.0,3.0,0.0,0.0,0.0,2012,70.9528064516129,298.6182795698925,0.612952968388589,0.1111111111111111,0.6750298685782556,0.33799999999999997
106,Jerry Kelly,12.192,1440.0,-0.24,-5.595,-0.018000000000000002,-0.218,0.245,0.0,0.0,0.0,0.0,0.0,2012,70.95466666666667,276.0875,0.7300448430493274,0.1111111111111111,0.65625,0.009000000000000008
107,Boo Weekley,-8.391,1188.0,-0.21,-61.185,0.6679999999999999,0.466,-0.162,0.0,2.0,0.0,0.0,1.0,2012,70.96584285714286,296.7651515151515,0.6514657980456026,0.1111111111111111,0.6952861952861953,0.9719999999999999
108,Chris Couch,5.631,1062.0,-0.28,4.4910000000000005,0.377,-0.131,-0.205,0.0,0.0,0.0,0.0,0.0,2012,70.9767966101695,293.76271186440675,0.6548780487804878,0.1111111111111111,0.6365348399246704,0.04100000000000001
109,Martin Laird,-29.837,1314.0,-0.27,5.356,0.374,0.175,-0.099,0.0,3.0,0.0,2.0,0.0,2012,70.98853424657534,298.2291666666667,0.5915768854064642,0.1095890410958904,0.6529680365296804,0.44999999999999996
110,Nathan Green,18.358,1170.0,-0.26,14.162,-0.479,0.048,0.083,0.0,1.0,0.0,0.0,0.0,2012,70.99069565217391,283.83076923076925,0.5896589658965896,0.1111111111111111,0.6692307692307692,-0.348
