,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
102,J.J. Henry,89,"6,324",- 10.466,"48,972",170,748,"1,184","1,044","1,530",-0.21,-3.859,71,0.051,0.126,0.133,18.105,71,28.0,1.0,3.0,"6,866",1.0,,1.0,2012
103,D.A. Points,88,"6,243",.227,"49,704",175,796,"1,231","1,053","1,584",-0.25,-8.759,80,0.067,0.32899999999999996,-0.003,22.74,80,25.0,0.0,3.0,"6,599",,1.0,,2012
104,Billy Mayfair,86,"6,110",- 8.484,"49,326",172,783,"1,201",991,"1,548",-0.22,-15.991,78,0.08,-0.083,0.131,-5.985,78,24.0,0.0,1.0,"7,126",,,,2012
105,Josh Teater,93,"6,592",6.611,"55,543",186,795,"1,297","1,130","1,674",-0.26,-17.387999999999998,83,0.57,-0.231,-0.001,10.635,83,27.0,0.0,3.0,"6,823",,,,2012
106,Jerry Kelly,84,"5,948",12.192,"44,174",160,814,"1,115",945,"1,440",-0.24,-5.595,73,-0.018000000000000002,-0.218,0.245,-4.88,73,22.0,0.0,,"7,241",,,,2012
107,Boo Weekley,70,"4,976",- 8.391,"39,173",132,600,921,826,"1,188",-0.21,-61.185,58,0.6679999999999999,0.466,-0.162,-4.76,58,21.0,0.0,2.0,"7,261",,,1.0,2012
108,Chris Couch,59,"4,182",5.631,"34,664",118,537,820,676,"1,062",-0.28,4.4910000000000005,54,0.377,-0.131,-0.205,6.734,54,21.0,0.0,,"7,384",,,,2012
109,Martin Laird,73,"5,212",- 29.837,"42,945",144,604,"1,021",858,"1,314",-0.27,5.356,54,0.374,0.175,-0.099,29.624000000000002,54,22.0,0.0,3.0,"6,602",,2.0,,2012
110,Nathan Green,69,"4,880",18.358,"36,898",130,536,909,783,"1,170",-0.26,14.162,57,-0.479,0.048,0.083,-5.689,57,18.0,0.0,1.0,"7,381",,,,2012
111,Y.E. Yang,62,"4,449",- 46.665,"35,331",124,530,868,653,"1,116",-0.27,24.781,48,-0.11800000000000001,-0.35200000000000004,-0.192,-7.021,48,20.0,0.0,,"7,275",,,,2012
112,George McNeill,85,"6,058",- 22.027,"46,206",160,689,"1,127",919,"1,458",-0.25,16.899,71,-0.149,-0.023,-0.053,0.89,71,23.0,1.0,1.0,"6,902",1.0,,,2012
113,Cameron Tringale,88,"6,266",- 15.961,"50,815",175,789,"1,225","1,055","1,584",-0.24,7.855,77,0.195,0.055999999999999994,0.003,27.393,77,23.0,0.0,4.0,"6,937",,,,2012
114,Bryce Molder,79,"5,614",- 2.783,"43,838",158,680,"1,104",923,"1,422",-0.25,47.29,71,-0.632,0.1,0.188,22.820999999999998,71,23.0,0.0,2.0,"6,603",,,,2012
115,Rod Pampling,84,"5,984",- 16.832,"46,210",160,700,"1,116",935,"1,440",-0.24,-10.57,69,0.061,-0.131,0.203,-1.375,69,22.0,0.0,1.0,"7,121",,,,2012
116,Vaughn Taylor,79,"5,607",6.699,"42,904",150,635,"1,048",895,"1,350",-0.26,1.9609999999999999,64,-0.327,0.165,0.16,1.8880000000000001,64,22.0,0.0,,"7,314",,,,2012
117,Bill Lunde,79,"5,605",8.881,"43,582",150,617,"1,044",912,"1,350",-0.24,-16.132,67,0.052000000000000005,0.449,0.044000000000000004,20.424,67,21.0,0.0,,"7,332",,,,2012
118,Danny Lee,70,"4,958",16.341,"38,533",132,529,921,775,"1,188",-0.27,2.366,59,-0.20199999999999999,-0.031,0.23,2.188,59,22.0,0.0,,"7,400",,,,2012
119,Brandt Jobe,57,"4,077",- 26.356,"31,714",106,463,741,617,954,-0.24,11.552999999999999,45,0.198,-0.222,-0.18,2.391,45,18.0,0.0,1.0,"7,381",,,,2012
120,Camilo Villegas,77,"5,456",17.115,"44,701",154,666,"1,074",964,"1,386",-0.26,-25.07,73,0.08,0.20800000000000002,-0.11699999999999999,-12.665999999999999,73,21.0,0.0,,"7,359",,,,2012
121,Stuart Appleby,71,"5,029",18.778,"40,225",142,648,990,828,"1,278",-0.24,9.991,65,-0.003,-0.43700000000000006,0.158,-8.352,65,20.0,0.0,,"7,339",,,,2012
