,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
24,Ian Poulter,48,"3,355",11.731,"21,797",76,398,668,541,864,-0.32,26.094,38,-.188,.137,.053,26.165,38,13,0,1,0,,,,,2020
25,Brendon Todd,86,"5,994",38.954,"48,619",172,862,"1,208","1,014","1,548",-0.29,37.342,75,-.073,-.119,.092,29.765,75,25,2,4,,-3,2,,,2020
26,Russell Henley,63,"4,386",33.902,"36,549",126,579,882,813,"1,134",-0.25,-10.902,58,-.049,.867,.224,49.492,58,20,0,4,0,,,,,2020
27,Jason Day,53,"3,713",5.657,"26,976",90,412,737,618,954,-0.30,8.625,40,.146,-.151,.632,33.734,40,17,0,5,0,,,,,2020
28,Ryan Palmer,68,"4,757",16.341,"35,910",120,572,952,807,"1,224",-0.30,-16.031,59,.280,.362,.017,22.834,59,19,0,5,,-1,,1,,2020
29,Billy Horschel,79,"5,528",18.507,"40,107",134,692,"1,102",941,"1,422",-0.30,24.983,59,.286,-.033,.095,45.507,59,22,0,6,,E,,1,,2020
30,Tommy Fleetwood,40,"2,797",13.350,"17,337",56,341,556,484,720,-0.27,12.249,28,.389,-.378,.107,15.569,28,11,0,1,0,,,,1,2020
31,Shane Lowry,44,"3,077",14.674,"21,556",72,373,612,550,792,-0.24,-12.819,36,.203,.354,.122,11.599,36,13,0,1,0,,,,,2020
32,Harold Varner III,74,"5,163",39.004,"39,856",132,636,"1,031",940,"1,332",-0.28,-12.233,57,.458,.442,.244,53.002,57,22,0,1,0,,,,,2020
33,Brendan Steele,64,"4,481",18.334,"38,859",128,537,896,785,"1,152",-0.29,7.045,56,.081,.539,-.038,39.626,56,20,0,3,0,,,1,,2020
34,Bubba Watson,66,"4,619",21.310,"36,072",116,533,920,804,"1,188",-0.28,3.630,57,.649,.208,-.209,40.541,57,20,0,3,0,,,,1,2020
35,Bud Cauley,61,"4,281",7.796,"35,438",122,504,854,720,"1,098",-0.27,3.019,58,-.116,.322,.380,36.994,58,20,0,2,0,,,,,2020
36,Matt Kuchar,56,"3,927",10.465,"31,681",112,518,787,655,"1,008",-0.31,33.651,49,-.039,.014,.015,33.150,49,16,0,1,0,,,1,,2020
