,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
31,Charles Howell III,91,"6,376",32.026,"52,788",174,668,"1,270","1,114","1,638",-0.29,11.999,79,.039,.046,.323,55.370,79,25,0,5,"3,998",,,,,2016
32,Francesco Molinari,64,"4,524",- 16.079,"36,692",128,570,894,748,"1,152",-0.25,-16.896,57,.192,.484,.183,32.042,57,18,0,3,"4,639",,,,,2016
33,Bill Haas,82,"5,798",- 21.589,"47,495",164,715,"1,147",991,"1,476",-0.23,-11.157,64,.068,.272,.353,33.203,64,24,0,6,"3,904",,,1,1,2016
34,J.B. Holmes,70,"4,957",- 25.876,"43,868",140,512,983,825,"1,260",-0.30,-3.902,57,.692,-.051,.218,38.332,57,21,0,6,"3,571",,,,1,2016
35,Kevin Kisner,90,"6,342",- 1.599,"47,344",164,825,"1,264","1,059","1,620",-0.31,47.279,69,.371,-.076,-.320,45.576,69,26,1,6,"3,402",,1,1,,2016
36,Harris English,97,"6,854",- 19.118,"52,951",177,746,"1,356","1,132","1,746",-0.26,43.331,73,-.236,.240,.138,46.258,73,27,0,3,"3,919",,,1,1,2016
37,Ryan Moore,77,"5,421",5.070,"41,233",146,723,"1,073",909,"1,386",-0.28,17.550,61,-.107,.351,.251,47.753,61,22,1,8,"3,306",,1,,1,2016
38,Lucas Glover,75,"5,275",15.059,"44,751",150,674,"1,047",967,"1,350",-0.27,-12.866,67,.565,.308,-.110,38.306,67,23,0,2,"4,599",,,,,2016
39,Billy Horschel,70,"4,971",- 32.637,"41,020",140,595,980,853,"1,260",-0.27,6.405,57,.201,.422,-.102,47.250,57,20,0,5,"3,990",,,,,2016
40,Marc Leishman,86,"6,066",1.621,"46,020",156,729,"1,204","1,011","1,548",-0.27,16.350,65,.159,-.092,.191,33.118,65,25,0,2,"4,266",,,,,2016
41,Russell Henley,76,"5,346",16.378,"44,929",152,670,"1,061",934,"1,368",-0.25,13.327,69,.269,.136,-.038,38.611,69,25,0,4,"4,463",,,,,2016
42,Chad Campbell,90,"6,326",24.984,"49,522",172,810,"1,258","1,104","1,620",-0.25,-17.875,80,.048,.235,.346,43.528,80,28,0,3,"4,360",,,,,2016
43,Jason Kokrak,89,"6,283",- 2.305,"54,711",178,726,"1,243","1,100","1,602",-0.26,-21.628,75,.594,.424,-.238,39.366,75,28,0,4,"3,635",,,1,,2016
44,Retief Goosen,55,"3,900",- 18.058,"31,764",110,432,766,621,990,-0.28,22.157,48,-.385,.080,.457,29.402,48,16,0,,"4,809",,,,,2016
45,Si Woo Kim,105,"7,389",22.444,"61,341",209,933,"1,467","1,222","1,890",-0.29,-11.431,95,.295,-.164,.393,49.408,95,33,1,4,"3,395",,1,1,,2016
46,Roberto Castro,93,"6,522",43.483,"52,825",186,909,"1,299","1,166","1,674",-0.26,-21.913,84,.267,.467,.161,53.232,84,26,0,4,"3,447",,,1,1,2016
47,Justin Thomas,92,"6,514",- 15.742,"50,568",168,698,"1,288","1,090","1,656",-0.28,-16.602,71,.013,.517,-.006,20.617,71,27,1,6,"3,243",,1,,4,2016
48,Shane Lowry,54,"3,861",- 46.415,"29,869",100,467,755,627,972,-0.24,4.180,37,.296,-.180,.139,24.752,37,17,0,2,"4,574",,,1,,2016
