,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money
0,Henrik Stenson,60,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,0,5,-0.207,1.153,0.4270000000000001,0.96,-0.027000000000000003,2680487
1,Ryan Armour,109,73.58,2018,283.5,68.22,29.31,60.13,70.758,1006,1,3,-0.058,0.337,-0.012,0.213,0.194,2485203
2,Chez Reavie,93,72.24,2018,286.5,68.67,29.12,62.27,70.432,1020,0,3,0.192,0.674,0.183,0.4370000000000001,-0.13699999999999998,2700018
3,Ryan Moore,78,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,0,5,-0.271,0.941,0.406,0.532,0.273,1986608
4,Brian Stuard,103,71.44,2018,278.9,67.12,29.11,59.23,71.038,421,0,3,0.16399999999999998,0.062,-0.227,0.099,0.026,1089763
5,Brian Gay,103,71.37,2018,282.9,64.52,28.25,63.26,70.28,880,0,6,0.442,0.565,-0.166,0.036000000000000004,0.253,2152501
6,Kyle Stanley,93,71.29,2018,295.7,71.09,29.89,54.8,70.404,1198,0,5,0.037000000000000005,0.6859999999999999,0.378,0.298,-0.027000000000000003,3916001
7,Emiliano Grillo,94,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,0,5,0.546,1.133,0.364,0.345,-0.122,2493163
8,Russell Henley,77,70.03,2018,293.0,68.77,29.8,54.33,70.48899999999998,569,0,3,0.16699999999999998,0.541,0.093,0.467,-0.18600000000000005,1516438
9,Jim Furyk,50,69.91,2018,280.5,63.19,28.73,62.58,70.342,291,0,2,0.389,0.412,-0.392,0.179,0.235,660010
10,Steve Wheatcroft,60,69.79,2018,288.9,66.57,29.29,61.03,71.631,138,0,1,-0.128,-0.339,0.112,-0.065,-0.258,309656
11,Kevin Streelman,94,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,0,5,-0.25,0.619,0.439,0.415,0.014,1523642
12,C.T. Pan,104,68.98,2018,292.7,71.2,29.66,56.89,70.457,693,0,1,-0.067,0.478,0.215,0.267,0.063,1881787
13,David Lingmerth,82,68.93,2018,285.4,63.03,28.5,58.57,71.043,274,0,0,0.229,-0.006999999999999999,0.006,-0.16,-0.081,616758
14,Keegan Bradley,98,67.9,2018,299.6,69.18,29.68,56.78,70.303,872,0,4,-0.358,0.7929999999999999,0.237,0.888,0.026,4069464
15,Rafa Cabrera Bello,75,67.85,2018,295.1,70.16,29.47,57.98,69.887,784,0,4,0.273,1.112,0.256,0.487,0.096,2449869
16,Billy Horschel,86,67.8,2018,295.4,71.75,29.46,58.03,70.154,960,1,3,0.392,1.112,0.5379999999999999,0.35200000000000004,-0.16899999999999998,4315200
